"Dates","MISC MK Equity","PBK MK Equity","HAP MK Equity","KLK MK Equity","HLBK MK Equity","PTG MK Equity","TOPG MK Equity","GENM MK Equity","DIGI MK Equity","CIMB MK Equity","SUCB MK Equity","AXIATA MK Equity","PEP MK Equity","MAXIS MK Equity","HART MK Equity","SIME MK Equity","PCHEM MK Equity","NESZ MK Equity","DLG MK Equity","MAY MK Equity","TNB MK Equity","PETD MK Equity","T MK Equity","GENT MK Equity","IOI MK Equity","HLFG MK Equity","RHBBANK MK Equity","SDPL MK Equity","IHH MK Equity","PMAH MK Equity","MRDIY MK Equity","KLCCSS MK Equity","AMM MK Equity","MAHB MK Equity","IJM MK Equity","ROTH MK Equity","YTL MK Equity","WPRTS MK Equity","ASTRO MK Equity","SAPE MK Equity","UMWH MK Equity","FGV MK Equity","IOIPG MK Equity","UEMS MK Equity","BAB MK Equity","YTLP MK Equity","MMHE MK Equity","AAGB MK Equity","GAM MK Equity"
05-Dec-16,5.78159,3.34986,6.61329,21.3296,11.57806,16.66315,0.6833,3.72312,4.0775,3.84579,0.4513,3.84829,12.10745,5.13682,2.1349,1.43347,5.78528,68.65684,1.4711,5.65921,10.51289,19.96704,5.40399,6.96126,3.83102,13.71811,3.90691,,6.20885,0.77506,,6.18632,3.65004,5.98051,2.90598,33.48685,1.2246,3.62224,1.93888,1.49687,4.44973,1.50614,1.73295,1.00593,0.555,1.05196,0.8636,1.33469,4.22254
06-Dec-16,5.73368,3.32598,6.65498,21.5636,11.49048,16.64727,0.67927,3.63617,4.12733,3.80462,0.45338,3.89356,11.93992,5.08596,2.09925,1.43171,5.86174,68.67488,1.46155,5.63758,10.52791,19.84634,5.37763,6.84926,3.84863,13.56368,3.90691,,6.18945,0.77506,,6.25085,3.6068,5.81178,2.89712,33.60725,1.2246,3.60535,1.92419,1.48709,4.41427,1.52473,1.78246,1.00593,0.565,1.05196,0.84912,1.32446,4.20465
07-Dec-16,5.78159,3.35669,6.67218,21.5276,11.80577,17.15558,0.65909,3.64407,4.12733,3.84579,0.44091,3.8664,12.18359,5.11139,2.09489,1.42996,5.87873,68.71097,1.4711,5.68083,10.51289,20.05326,5.38641,6.89234,3.86625,13.78304,3.93981,,6.17975,0.77506,,6.27504,3.65857,5.83052,2.90598,33.96846,1.25704,3.66446,1.93888,1.4773,4.3345,1.49684,1.77421,0.99607,0.56,1.05196,0.82982,1.28867,4.2136
08-Dec-16,5.82951,3.3601,6.72377,21.4736,11.7357,17.28266,0.66313,3.69941,4.14394,3.83756,0.44507,4.0475,12.18359,5.16225,2.09936,1.42821,5.82776,69.66729,1.46155,5.69525,10.51289,20.15671,5.41277,6.94403,3.87505,13.67336,3.95626,,6.22825,0.77978,,6.25891,3.65857,5.85865,2.91484,33.5621,1.24893,3.68979,1.96091,1.45774,4.24586,1.47825,1.71645,0.99607,0.555,1.05196,0.83947,1.2989,4.20465
09-Dec-16,5.83749,3.34645,6.75816,21.6176,11.78825,17.07616,0.66985,3.71522,4.11072,3.81285,0.44299,4.17426,12.16836,5.13682,2.08594,1.42646,5.81077,68.78315,1.46155,5.69525,10.51289,20.34638,5.36884,6.93541,3.84863,13.89272,3.96448,,6.16034,0.77506,,6.28311,3.71897,5.94301,2.968,34.08886,1.28137,3.69823,2.01967,1.52622,4.32563,1.51544,1.68344,1.01579,0.57,1.07419,0.82982,1.28867,4.29411
13-Dec-16,5.86944,3.3601,6.79255,21.3656,11.64812,17.45739,0.66313,3.73893,4.15224,3.8705,0.44091,4.1471,12.15313,5.11987,2.09936,1.42996,5.87873,68.83728,1.46155,5.7313,10.72315,20.48432,5.30733,6.89234,3.87505,13.911,3.95626,,6.22825,0.77978,,6.25085,3.83114,5.90551,2.9237,33.48685,1.28137,3.68979,2.00498,1.60449,4.39654,1.55263,1.67519,1.05524,0.6,1.07419,0.8443,1.30912,4.27622
14-Dec-16,5.90936,3.34986,6.93872,21.5636,11.68315,16.98085,0.66582,3.69941,4.11903,3.84579,0.43883,4.07466,12.19882,5.09444,2.09936,1.42996,5.86174,69.10793,1.46155,5.72409,10.55795,20.46708,5.23703,6.9268,3.91909,13.89272,3.98916,,6.17975,0.80341,,6.28311,3.83114,5.99925,3.01253,33.86311,1.28948,3.65601,2.02701,1.60449,4.40541,1.58052,1.68344,1.09469,0.605,1.07419,0.85395,1.28867,4.35673
15-Dec-16,5.82951,3.34645,6.90433,21.29361,11.56054,16.86965,0.66985,3.64407,4.10242,3.80462,0.43259,4.02939,11.93992,5.08596,2.09936,1.41945,5.81927,69.25229,1.45199,5.68083,10.48285,20.26017,5.1931,6.88372,3.85744,13.70992,3.94803,,6.23795,0.80341,,6.21858,3.79663,5.98988,2.99466,33.7126,1.26515,3.63913,1.99763,1.52622,4.35222,1.57122,1.65043,1.05524,0.6,1.07419,0.84912,1.28355,4.38357
16-Dec-16,5.86944,3.35327,6.96451,21.5996,11.68315,16.75846,0.67658,3.65988,4.10242,3.82109,0.44091,4.07466,12.01607,5.02663,2.15308,1.42821,5.81927,69.10793,1.45199,5.69525,10.57417,20.29465,5.18431,6.88372,3.88386,13.58196,3.93981,,6.17004,0.80341,,6.29117,3.83114,5.92426,2.99466,33.2912,1.26515,3.63913,1.99029,1.57514,4.42314,1.59911,1.66693,1.05524,0.6,1.0816,0.83465,1.29378,4.33884
19-Dec-16,5.86145,3.35669,6.96451,21.4196,11.52551,16.67904,0.68868,3.6915,4.10242,3.77991,0.43883,4.19237,12.04653,5.00967,2.12622,1.4177,5.68334,69.63121,1.45199,5.70246,10.46736,20.43259,5.24582,6.88372,3.88386,13.5454,3.91513,,6.20885,0.79396,,6.22665,3.79663,5.85865,2.90526,32.56878,1.26515,3.61379,2.01232,1.59471,4.32563,1.56192,1.65043,1.05524,0.605,1.05937,0.8443,1.27333,4.33884
