"Dates","MISC MK Equity","PBK MK Equity","HAP MK Equity","KLK MK Equity","HLBK MK Equity","PTG MK Equity","TOPG MK Equity","GENM MK Equity","DIGI MK Equity","CIMB MK Equity","SUCB MK Equity","AXIATA MK Equity","PEP MK Equity","MAXIS MK Equity","HART MK Equity","SIME MK Equity","PCHEM MK Equity","NESZ MK Equity","DLG MK Equity","MAY MK Equity","TNB MK Equity","PETD MK Equity","T MK Equity","GENT MK Equity","IOI MK Equity","HLFG MK Equity","RHBBANK MK Equity","SDPL MK Equity","IHH MK Equity","PMAH MK Equity","MRDIY MK Equity","KLCCSS MK Equity","AMM MK Equity","MAHB MK Equity","IJM MK Equity","ROTH MK Equity","YTL MK Equity","WPRTS MK Equity","ASTRO MK Equity","SAPE MK Equity","UMWH MK Equity","FGV MK Equity","IOIPG MK Equity","UEMS MK Equity","BAB MK Equity","YTLP MK Equity","MMHE MK Equity","AAGB MK Equity","GAM MK Equity"
03-Jun-20,7.80847,3.31273,7.95672,21.55653,14.42662,16.31045,4.23186,2.41665,4.30076,3.71632,3.2125,3.6775,16.72624,5.20773,10.52047,1.95861,6.2333,136.26127,3.85154,7.24264,10.86652,21.57213,4.12995,4.21617,4.24948,14.64789,4.86333,4.70292,5.4588,2.07471,,7.42335,3.17586,5.83,1.86214,10.12681,0.84625,3.71506,0.89522,0.1,2.25261,1.09629,1.06516,0.495,0.25,0.61845,0.505,0.825,3.84
04-Jun-20,7.89345,3.3356,9.20295,21.69211,14.67635,16.29224,4.44489,2.39806,4.25298,3.83245,3.68943,3.62899,16.84267,5.14072,11.04556,1.97674,6.65331,137.33727,3.75278,7.43324,10.9028,21.57213,4.15877,4.21617,4.24948,15.09709,4.99969,4.76997,5.54813,2.12918,,7.785,3.18563,5.8,1.87174,10.12681,0.84625,3.73411,0.88627,0.105,2.31189,1.08667,1.06516,0.54,0.25,0.61845,0.505,0.86,3.94
05-Jun-20,7.8368,3.30129,8.72363,21.34349,14.52267,16.29224,4.7155,2.41665,4.19563,3.83245,3.99538,3.62899,16.82326,5.06414,11.43938,1.98581,6.39557,134.3049,3.75278,7.3334,10.84838,21.28061,4.11074,4.1781,4.24948,14.55024,4.91787,4.75082,5.50842,2.25296,,7.79452,3.16609,5.5,1.84294,10.17263,0.8416,3.67696,0.88179,0.105,2.85529,1.06744,1.04579,0.515,0.255,0.61845,0.495,0.865,3.8
09-Jun-20,7.78959,3.31273,8.44563,21.76958,14.52267,16.11021,4.89399,2.5189,4.20519,3.90988,3.8919,3.54166,16.93969,5.09286,11.73942,2.00395,6.57694,136.946,3.75278,7.44231,10.79396,21.80534,4.17797,4.53975,4.23982,14.68695,4.8906,4.74124,5.58783,2.352,,7.8421,3.32244,6.1,1.87174,10.30093,0.8416,3.67696,0.89074,0.105,3.06276,1.08667,1.03611,0.51,0.26,0.61845,0.49,1.05,3.87
10-Jun-20,7.8368,3.3051,8.48397,21.86642,14.63793,16.34685,4.91702,2.48172,4.23386,3.91955,3.84691,3.58047,16.86207,5.16944,11.72067,2.02208,6.58649,136.946,3.74486,7.44231,10.84838,21.76647,4.24521,4.37796,4.23016,14.68695,4.8859,4.76039,5.52828,2.32724,,7.80403,3.31267,6.07,1.90053,10.2826,0.84625,3.66743,0.88627,0.105,3.03312,1.06744,1.03611,0.52,0.255,0.61845,0.495,1.02,3.87
11-Jun-20,7.78959,3.28604,8.16762,21.92452,14.48425,16.32865,4.80762,2.41665,4.20519,3.82277,3.71193,3.50285,16.95909,5.14072,11.68357,2.00395,6.39557,136.55472,3.6656,7.3334,10.84838,21.37779,4.12995,4.21617,4.24948,14.72601,4.80117,4.75082,5.4588,2.33714,,7.58514,3.22472,5.95,1.93893,10.026,0.83695,3.67696,0.87284,0.1,2.90468,1.02897,1.02643,0.505,0.245,0.61845,0.465,0.99,3.79
12-Jun-20,7.76126,3.20218,8.63323,21.76958,14.69556,16.16335,4.8652,2.41665,4.18608,3.68728,3.55895,3.52225,16.9785,5.112,11.75871,2.03115,6.55785,135.77217,3.63588,7.17911,10.77582,21.37779,4.06272,4.19713,4.24948,14.64789,4.70703,4.75082,5.38932,2.29258,,7.80403,3.15632,5.95,1.87174,10.08098,0.81835,3.55312,0.86389,0.095,2.75649,1.01936,1.01674,0.495,0.23,0.61403,0.45,0.97,3.72
15-Jun-20,7.62908,3.12975,8.07062,21.71148,14.21531,16.16335,4.3758,2.31441,4.05227,3.51308,3.09102,3.39611,16.78446,5.04499,10.96979,1.99488,6.17602,135.47872,3.56653,6.98851,10.72139,19.92021,3.88984,3.97823,4.16256,13.74949,4.5564,4.72208,5.3794,2.23811,,7.66128,3.07814,5.8,1.87174,9.78772,0.7765,3.52454,0.85493,0.09,2.61817,0.94723,1.01674,0.45,0.22,0.60519,0.41,0.865,3.64
16-Jun-20,7.68573,3.12975,8.11912,21.69211,14.1961,16.12661,4.59459,2.41665,4.10962,3.60986,3.29349,3.39611,16.90088,5.08329,11.3079,1.98581,6.25239,136.16345,3.59625,7.04297,10.88466,20.01738,4.00509,4.12099,4.18187,13.67137,4.57523,4.76039,5.38932,2.34704,,7.66128,3.06837,5.95,1.82374,9.97101,0.7951,3.51502,0.85493,0.095,2.69721,0.99051,1.01674,0.475,0.245,0.61403,0.435,0.925,3.6
17-Jun-20,7.68573,3.23267,8.29372,21.69211,14.15768,16.07151,4.51974,2.54678,4.19563,3.62922,3.244,3.39611,16.82326,5.21731,11.21398,1.99488,6.20466,136.4569,3.60616,7.05204,10.77582,20.19229,4.0147,4.28279,4.23982,14.15963,4.59406,4.78913,5.34962,2.34704,,7.61369,3.07814,5.95,1.85254,9.98934,0.76255,3.48644,0.87284,0.095,2.79601,0.98089,1.00706,0.475,0.25,0.59636,0.435,0.9,3.67
18-Jun-20,7.3647,3.20218,8.34222,21.49843,14.00401,15.88784,4.23186,2.49101,4.17652,3.58083,3.11802,3.367,16.68744,5.10243,10.80073,1.98581,6.09011,136.35909,3.55662,6.99759,10.70325,20.46437,4.03391,4.24472,4.21085,13.78855,4.57523,4.74124,5.35955,2.32223,,7.61369,3.04883,5.8,1.82374,9.93435,0.7672,3.49597,0.87731,0.095,2.81577,0.97128,1.00706,0.46,0.24,0.60519,0.42,0.89,3.55
19-Jun-20,7.28917,3.16024,8.73023,21.5178,13.85033,15.72253,4.43338,2.54678,4.10006,3.56147,3.32949,3.3573,16.78446,5.21731,11.34546,1.94047,5.98511,135.96781,3.5269,6.95221,10.70325,21.53326,3.75538,4.13051,4.24948,13.6909,4.51875,4.83702,5.35955,2.30735,,7.34721,3.04883,5.65,1.73736,10.26427,0.75325,3.52454,0.79674,0.095,2.66757,0.99051,0.97801,0.45,0.24,0.60519,0.43,0.89,3.55
22-Jun-20,7.3647,3.19836,8.62353,21.47906,13.69665,15.796,4.49095,2.5096,4.06183,3.57115,3.37898,3.40582,17.32777,5.15987,11.25154,1.91327,5.98511,135.96781,3.55662,6.95221,10.68511,21.7276,3.90905,4.11147,4.18187,13.94479,4.51875,4.76997,5.47865,2.27758,,7.56611,3.1954,5.45,1.68936,10.22762,0.77185,3.5436,0.79674,0.095,2.64781,0.99051,0.98769,0.46,0.24,0.60961,0.425,0.905,3.56
23-Jun-20,7.35526,3.12593,8.47803,21.42096,13.61981,15.75926,4.50247,2.49101,4.05227,3.52276,3.32049,3.37671,17.36658,5.16944,11.27033,1.91327,6.13784,136.84818,3.59625,6.94313,10.77582,22.03855,3.87063,4.13051,4.19153,13.57371,4.45285,4.72208,5.38932,2.28254,,7.56611,3.15632,5.59,1.72776,10.11764,0.77185,3.51502,0.78779,0.09,2.60829,0.97128,0.98769,0.45,0.24,0.60078,0.42,0.885,3.56
24-Jun-20,7.3647,3.14118,8.29372,21.634,13.63902,15.70416,4.49095,2.44454,4.0236,3.5034,3.20351,3.37671,17.44419,5.10243,11.36425,1.88607,6.13784,136.26127,3.59625,6.93406,10.64883,21.02797,3.84182,4.06389,4.24948,13.45653,4.51875,4.74124,5.35955,2.25773,,7.62321,3.15632,5.72,1.76615,9.95268,0.75325,3.5817,0.76094,0.095,2.61817,1.00013,0.97801,0.44,0.23,0.60519,0.405,0.875,3.53
25-Jun-20,7.27028,3.12212,8.10942,21.38222,13.63902,15.59396,4.49095,2.37948,3.99493,3.45501,3.19901,3.28938,17.4636,5.07371,11.36425,1.88607,6.04238,135.96781,3.57644,6.90683,10.5037,20.60041,3.84182,3.98775,4.18187,13.20263,4.52816,4.69335,5.3397,2.23788,,7.61369,3.06837,5.6,1.77575,9.84271,0.74395,3.51502,0.75646,0.095,2.63793,0.98089,0.96833,0.43,0.225,0.60519,0.385,0.85,3.45
26-Jun-20,7.26084,3.15643,8.39073,21.32412,13.63902,15.59396,4.31711,2.39806,4.0236,3.46469,3.08202,3.3573,17.34717,5.112,11.21398,1.9042,6.06148,135.67436,3.59625,6.9159,10.41299,20.40607,3.88023,3.98775,4.16256,13.16357,4.52816,4.66461,5.31985,2.23788,,7.57562,3.0586,5.6,1.72776,9.93435,0.75325,3.50549,0.73856,0.095,2.58853,0.98089,0.96833,0.425,0.225,0.59636,0.385,0.85,3.44
29-Jun-20,7.26084,3.13356,8.17732,21.49843,13.52376,15.59396,4.5489,2.36963,4.08095,3.4163,3.47346,3.47374,17.11432,5.09286,11.73993,1.91327,5.91829,135.77217,3.56653,6.83422,10.48556,20.01738,3.95707,4.00706,4.2205,12.92921,4.54699,4.74124,5.55805,2.23292,,7.58514,3.00974,5.57,1.75655,10.00767,0.76255,3.5436,0.73408,0.09,2.48973,0.98089,0.95864,0.43,0.22,0.59636,0.39,0.85,3.58
30-Jun-20,7.23251,3.14499,8.53623,21.49843,13.52376,15.50212,4.6648,2.39807,4.11918,3.44534,3.59944,3.44463,17.25015,5.14072,12.20952,1.94954,5.91829,136.84818,3.57644,6.81607,10.53998,20.01738,3.98588,3.95878,4.19153,12.79249,4.50933,4.7125,5.4588,2.2478,,7.57562,3.03905,5.45,1.73736,9.87936,0.77185,3.6198,0.74303,0.095,2.51937,0.97599,0.94896,0.435,0.23,0.59194,0.4,0.875,3.64
01-Jul-20,7.32693,3.14881,8.43923,21.49843,13.63902,15.42865,4.96612,2.37911,4.08095,3.49373,3.81991,3.44463,17.05611,5.07371,13.88129,1.9042,5.96602,135.67436,3.61607,6.82514,10.43113,20.05625,3.98588,3.93947,4.24948,12.7339,4.52816,4.76997,5.35955,2.26765,,7.59466,2.9902,5.56,1.69896,9.80605,0.75325,3.57217,0.7296,0.1,2.51937,0.98089,0.9538,0.425,0.23,0.59636,0.4,0.905,3.7
02-Jul-20,7.41191,3.22886,8.59443,21.78895,13.88875,15.59396,5.07043,2.47389,4.10006,3.57115,4.03138,3.40582,17.28896,5.112,14.08791,1.89513,6.25239,137.14163,3.69532,6.9159,10.48556,20.11455,3.94747,4.065,4.32674,12.75343,4.58465,4.76997,5.40917,2.29742,,7.58514,3.02928,5.89,1.67976,9.73273,0.75325,3.57217,0.73413,0.095,2.65769,1.00051,0.94896,0.445,0.23,0.59636,0.405,0.91,3.58
03-Jul-20,7.38359,3.25173,8.73993,21.78895,13.92717,15.59396,5.34858,2.44546,4.0905,3.58083,4.23385,3.39611,17.32777,5.06414,15.0271,1.93141,6.37648,136.946,3.69532,6.99759,10.66697,20.79475,3.97628,4.04568,4.24948,12.89015,4.63172,4.75082,5.34962,2.3272,,7.57562,3.09769,5.74,1.70856,9.86103,0.7486,3.67696,0.7432,0.1,2.68733,0.9907,0.9538,0.44,0.23,0.60078,0.41,0.9,3.57
06-Jul-20,7.5441,3.3051,8.61383,21.92452,13.96559,16.07151,5.78319,2.44546,4.14785,3.58083,4.66128,3.38641,17.38598,5.08329,15.4967,1.93141,6.62467,136.946,3.76467,7.1065,10.75767,20.21172,4.0243,4.05534,4.34606,13.14404,4.67879,4.76039,5.34962,2.34208,,7.61369,3.08791,5.72,1.74695,9.80605,0.75325,3.66743,0.7432,0.095,2.64781,1.01032,0.95864,0.47,0.24,0.61845,0.425,0.895,3.6
07-Jul-20,7.41191,3.31654,8.26462,21.88579,13.88875,15.61233,5.92806,2.4265,4.0236,3.58083,4.80526,3.31849,17.26956,4.94926,15.68454,1.92234,6.32875,136.35909,3.81421,7.09742,10.52184,19.70643,3.98588,4.00706,4.25914,13.37841,4.6882,4.75082,5.30992,2.36689,,7.70886,3.127,5.63,1.68936,9.73273,0.75325,3.56265,0.73867,0.095,2.64781,1.02013,0.9538,0.455,0.23,0.64937,0.405,0.855,3.52
08-Jul-20,7.55354,3.4309,8.77874,21.92452,13.96559,15.61233,5.95124,2.41702,4.10962,3.67761,4.88625,3.38641,17.40538,5.06414,15.42157,1.96768,6.26193,137.14163,3.82411,7.17911,10.48556,20.40607,3.98588,4.00706,4.31708,13.47606,4.76351,4.83702,5.3,2.37186,,7.58514,3.15632,5.51,1.70856,9.76939,0.7486,3.5817,0.76133,0.095,2.62805,1.03975,0.93928,0.44,0.235,0.6317,0.4,0.705,3.52
09-Jul-20,7.41191,3.52621,8.53623,21.80832,13.92717,15.31845,6.13667,2.39807,4.10006,3.63889,5.59714,3.30878,17.28896,5.05457,15.59062,1.92234,6.14739,136.06563,3.83402,7.17911,10.41299,19.88134,3.99549,3.9781,4.34606,13.47606,4.80117,4.75082,5.23052,2.37186,,7.54707,3.17586,5.46,1.67976,9.73273,0.75325,3.62933,0.76586,0.095,2.62805,1.04955,0.93443,0.435,0.235,0.63612,0.4,0.75,3.5
10-Jul-20,7.41191,3.52621,8.72053,22.01305,13.94638,15.33681,6.35108,2.39807,4.14785,3.68728,6.12805,3.30878,17.4636,5.09286,16.02265,1.94954,6.01375,136.4569,3.84393,7.17003,10.30415,20.23116,3.96668,3.94913,4.34606,13.65184,4.79176,4.81786,5.3,2.38178,,7.66128,3.17586,5.3,1.69896,9.69607,0.74395,3.44834,0.76133,0.095,2.59841,1.02994,0.93443,0.44,0.225,0.62728,0.395,0.78,3.45
13-Jul-20,7.44024,3.53002,8.74963,22.07154,14.23452,15.33681,6.95373,2.38859,4.16696,3.67761,7.18989,3.29908,17.5024,5.12158,16.81157,1.94954,5.93738,136.55472,3.86374,7.16096,10.26786,20.13399,3.89944,3.9781,4.32674,13.59324,4.7541,4.78913,5.35955,2.37682,,7.57562,3.17586,5.25,1.66057,9.60443,0.74395,3.46739,0.75679,0.095,2.56877,1.04955,0.93443,0.435,0.225,0.61845,0.4,0.76,3.45
14-Jul-20,7.45912,3.56433,8.35192,22.09104,14.21531,15.33681,6.71035,2.41702,4.13829,3.5905,7.1539,3.31849,17.63823,5.12158,15.9663,1.93141,6.02329,137.23945,3.86374,7.13373,10.37671,20.21172,3.95707,3.93947,4.32674,13.63231,4.71644,4.81786,5.30992,2.38178,,7.56611,3.10746,5.1,1.61257,9.56777,0.73,3.44834,0.73867,0.09,2.51937,1.02994,0.93443,0.435,0.22,0.61845,0.39,0.74,3.36
15-Jul-20,7.45912,3.54527,8.37132,22.11054,14.5803,15.22661,6.31631,2.37911,4.17652,3.55179,6.77595,3.30878,18.04572,5.12158,14.65143,1.94047,5.8992,137.92418,3.84393,7.17911,10.30415,20.40607,3.91865,3.94913,4.37503,13.59324,4.76351,4.91365,5.38932,2.35697,,7.56611,3.127,4.95,1.60297,9.78772,0.72535,3.38166,0.73867,0.1,2.56877,1.0986,0.90538,0.43,0.235,0.62728,0.4,0.755,3.41
16-Jul-20,7.44968,3.51096,8.56533,22.03255,14.42662,15.1164,5.70785,2.36963,4.19563,3.55179,6.70397,3.25056,17.73525,5.13115,14.23818,1.93141,5.92784,136.946,3.81421,7.09742,10.30415,20.38663,3.87063,3.93947,4.36537,13.67137,4.71644,4.92322,5.3,2.35201,,7.54707,3.14,5.01,1.54538,9.60443,0.7114,3.38166,0.7296,0.095,2.51937,1.10841,0.90538,0.42,0.22,0.61845,0.39,0.735,3.35
17-Jul-20,7.4308,3.48427,8.54593,22.05204,14.46504,15.0613,6.6582,2.36015,4.28165,3.49373,7.96377,3.27967,18.08452,5.1503,16.06022,1.94047,5.96602,137.92418,3.8043,7.20634,10.46742,20.60041,3.92826,3.92016,4.36537,13.61277,4.77293,4.88491,5.29007,2.33216,,7.55659,3.11,5.1,1.60297,9.80605,0.71605,3.41023,0.7296,0.095,2.51937,1.11822,0.90538,0.44,0.22,0.61845,0.39,0.735,3.39
20-Jul-20,7.45912,3.36228,8.63323,22.22753,14.46504,14.98783,7.19132,2.31276,4.13829,3.4163,8.27872,3.20205,18.25916,5.07371,16.39833,1.95861,5.8992,136.26127,3.8043,7.09742,10.28601,20.4255,3.86103,3.86223,4.3364,13.49559,4.70703,4.90407,5.31985,2.31727,,7.48045,3.12,5.1,1.54538,9.62276,0.73,3.42929,0.7296,0.09,2.50949,1.18688,0.91023,0.425,0.22,0.62728,0.38,0.715,3.35
21-Jul-20,7.23251,3.42709,8.69143,21.85707,14.48425,14.96946,7.22609,2.31276,4.06183,3.47437,8.04476,3.13413,18.29797,5.08329,16.90549,1.92234,5.91829,138.90237,3.76467,7.13373,10.34043,20.75589,3.90905,3.81395,4.31708,13.57371,4.6882,4.88491,5.4191,2.31231,,7.48045,3.05,5.15,1.52619,9.73273,0.73,3.44834,0.71601,0.1,2.46009,1.17707,0.91507,0.445,0.24,0.61845,0.4,0.715,3.24
22-Jul-20,7.31749,3.40422,8.63323,22.13004,14.40741,14.76742,7.15655,2.24641,4.04272,3.43566,7.7928,3.15353,18.33678,5.05457,16.32319,1.94047,5.92784,138.90237,3.72504,7.12465,10.24972,20.96966,3.86103,3.73671,4.36537,13.51512,4.69762,4.90407,5.34962,2.33216,,7.48997,3.05,5.32,1.53578,9.56777,0.72535,3.47691,0.72507,0.1,2.44033,1.18688,0.91991,0.425,0.225,0.61845,0.395,0.705,3.4
23-Jul-20,7.38359,3.41565,8.58473,22.24702,14.44583,14.96946,7.56798,2.24641,4.07139,3.54212,7.84679,3.10502,18.4338,5.06414,16.90549,1.94954,6.11875,137.43509,3.76467,7.15188,10.28601,20.95023,3.79379,3.80429,4.36537,13.51512,4.70703,5.02858,5.35955,2.33712,,7.48997,3.08,5.22,1.58378,9.51278,0.71605,3.57217,0.73867,0.105,2.45021,1.21631,0.91507,0.445,0.23,0.62286,0.38,0.71,3.55
24-Jul-20,7.45912,3.37753,8.36162,22.13004,14.40741,14.9511,7.37096,2.20849,4.00449,3.45501,7.71181,3.13413,18.4338,5.02585,16.60495,1.93141,5.97557,136.946,3.75477,7.12465,10.1953,20.03682,3.813,3.82361,4.31708,13.57371,4.67879,4.96154,5.34962,2.33216,,7.38528,3.03,5.2,1.58378,9.84271,0.69281,3.47691,0.7296,0.095,2.43045,1.26535,0.91023,0.435,0.23,0.61845,0.375,0.71,3.45
27-Jul-20,7.45912,3.33941,8.39073,23.28041,14.36899,15.0613,7.49844,2.1611,4.01405,3.45501,7.84679,3.11472,18.4726,4.96841,17.18725,1.97674,5.8992,136.06563,3.75477,7.09742,10.24972,19.72587,3.82261,3.73671,4.34606,13.37841,4.66937,4.89449,5.32977,2.30735,,7.38528,2.98,5.09,1.51659,9.80605,0.67886,3.63885,0.72054,0.095,2.35141,1.28497,0.90538,0.43,0.22,0.62728,0.34,0.7,3.55
28-Jul-20,7.44968,3.33941,8.68173,23.22191,14.3882,15.20824,7.64911,2.19902,4.05227,3.47437,8.54868,3.12442,18.51141,5.04499,18.68996,1.97674,5.86102,136.75036,3.73495,7.1065,10.23158,20.9308,3.82261,3.72705,4.404,13.1831,4.71644,4.94238,5.60768,2.34208,,7.37576,2.98,5.1,1.53578,9.76939,0.68351,3.67696,0.71601,0.095,2.46009,1.24573,0.91507,0.43,0.225,0.62286,0.35,0.69,3.56
29-Jul-20,7.41191,3.34322,8.65263,23.08543,14.40741,15.24498,7.57377,2.17058,4.06183,3.48405,8.4047,3.15353,18.9189,5.10243,18.89658,1.94954,5.99466,138.90237,3.72504,7.03389,10.35857,20.87249,3.82261,3.71739,4.39435,13.31982,4.70703,4.9328,5.43895,2.38178,,7.42335,2.99,5.13,1.51647,9.75106,0.72535,3.70553,0.71148,0.095,2.54901,1.18688,0.8957,0.435,0.225,0.62286,0.345,0.675,3.63
30-Jul-20,7.44968,3.2403,8.68173,22.81246,14.40741,15.42865,7.49844,2.1611,4.06183,3.47437,8.32371,3.10502,19.11294,5.07371,19.04685,1.97674,5.8992,138.90237,3.75477,6.96128,10.37671,20.89193,3.84182,3.69808,4.42332,13.12451,4.72586,4.99027,5.35955,2.40163,,7.42335,2.9,5.28,1.54544,9.80605,0.72535,3.74364,0.72054,0.095,2.42057,1.17707,0.8957,0.425,0.225,0.62286,0.34,0.64,3.56
03-Aug-20,7.4308,3.15643,8.25492,22.59798,13.73507,15.07967,7.78818,2.10423,3.97582,3.34856,8.70166,3.00799,18.00691,4.98755,19.25348,1.89513,5.63192,137.63073,3.56653,6.80699,10.06831,20.07568,3.8034,3.53394,4.3364,12.55813,4.63172,4.86575,5.32977,2.35697,,7.51852,2.89,5.02,1.45851,9.67774,0.69746,3.5436,0.69335,0.095,2.37117,1.11822,0.88118,0.41,0.215,0.62286,0.33,0.6,3.45
04-Aug-20,7.41191,3.18311,8.24522,22.61748,13.83112,15.0062,8.21699,2.11371,3.9567,3.34856,10.08744,3.03709,18.29797,4.91097,18.72753,1.9042,5.55556,135.96781,3.63588,6.80699,9.92318,19.84247,3.76498,3.60153,4.28811,12.55813,4.63172,4.85618,5.2603,2.33712,,7.38528,2.89,4.98,1.40056,9.69607,0.68351,3.5817,0.68429,0.09,2.46997,1.15745,0.89086,0.41,0.22,0.62728,0.325,0.6,3.41
05-Aug-20,7.39303,3.1793,7.93481,22.18853,13.85033,14.9511,8.0953,2.10423,3.96626,3.31952,10.3484,3.0468,18.31737,4.93012,18.59604,1.93141,5.46965,136.35909,3.59625,6.77976,9.92318,19.49265,3.74577,3.57256,4.23982,12.32376,4.5564,4.83702,5.20075,2.43636,,7.40432,2.89,5.01,1.3909,9.65941,0.68351,3.76269,0.68882,0.1,2.41069,1.14764,0.90538,0.415,0.23,0.6582,0.345,0.59,3.4
